word,definition
huni,"chirp, sing (like birds or crickets); to blow (said of whistle or siren)"
hunos,to pull (out); draw (gun)
hunos-hunos,"jerk back and forth, push and pull"
hu-o,"yes. Used quite differently than the English equivalent -- the ""yes"" can mean ""the former"" or ""yes, your statement (in the negative) is true"""
huros,"slip (off), become loose"
huya,"face, pride; shame; be disgraced, be shamed"
huy-ab,to yawn
huyang,"shake, rattle"
huyap,"to count, enumerate"
huyong,"shake, rattle"
huyop,to blow (air) on
i-,classic noun prefix used to show locations
i-,prefix for future and command verb forms in the instrumental focus
ia,here (near the speaker)
iba,"accompany, go along with; different, other, another"
iba,"different, other, another"
iba,"go together, be companions"
iba,tree with sour fruit: Averrhoa bilimbi L.
i-babaw,"top, uppermost part; upstairs"
i-bilin,"leave behind; order, request"
ibog,"attracted to, desire, like"
i-daeom,"below, bottom, underneath"
idlap,"shine, glow"
igat,eel
igpit,"to clip, catch, hold between two things"
ihi,"urine, urinate"
ika-pito,seventh
ika-siyam,ninth
i-kaw,you (singular)
i-ka-waeo,eighth
ik-ik,"to cheep, chatter (sound of animal -- like monkey)"
ikog,tail (of any creature)
ikot,to go around; revolve
ila,"wild, untamed, undomesticated (fowl)"
i-lawod,the seaward part of any town
i-laya,inland (section of town)
ilig,"to flow (downstream); to flow, drop"
ilih-an,"place, location"
il-ihi--an,"urinal, place to urinate"
ilo,orphan; to be left an orphan
ilog,to flow
ilong-an,fish sp.
ilos,to ladle out
iluk-on,"underarms, armpit"
imbaw,clam --- shell
imn-a,drink (imper.)
imo,"your (sg.), you"
imon,"be possessive (of), hold on to"
imot,"miserly, thrifty, penny-pinching"
impas,"pay in full, pay one's account"
impon,"mingle, mix with; consist of"
-in-,object focus and intensive infix
ina,M
ina-ina,foster mother; stepmother
inakeanon,to speak Aklanon
in-apo,grandchildren
in-atay,liver disease
in-ayam,act like a dog (implying overt sexual behavior)
indang,a tree: Artocarpus cumingiana Trec.
indong-indong,eel
inga,to bellow (carabao) (< *?)
ingit,"crabby, out of sorts, in a bad mood"
ingking,"trifling, trivial, insignificant"
ingok,to grunt (like a pig)
ingos,moan in sadness; purr
in-insik,Chinese (language)
init,"to heat, make hot"
inog-turo,index finger
inom,to drink (up)
inot,"save up, be thrifty with"
insik,"Chinese, Chinaman"
intok,"become smaller, shrink"
iot,"""fuck"" (very strong term of anger or disgust)"
ipa-,causative verb prefix used in giving commands about direct objects
ipil,a tree: Intsia bijuga
iping,"side-by-side with, next to"
isda,fish
isip,"egoistic, selfish, always considering oneself; think of, consider, reckon, ponder; thought, consideration"
isip-on,think over
isoe,move backwards
isot,"become smaller; almost, barely, nearly"
itik,to tickle
itik,duck
itip,hard-cooked rice (at the bottom of the pot)
itlog,egg; testicle
itum,"black, dark (colored)"
iwik,"to squeal, howl (said of a pig)"
iyot,"""fuck"" (very strong term of anger or disgust)"
ka,you singular (contraction of )
ka-,noun prefix: 'sweetness' (cp. 'sweet')
ka-,"very productive adjective prefix, indicating a high degree (when standing alone), or the superlative (when with the suffix) 'very good looking' (cp. 'handsome')"
ka-amah-an,fatherhood
ka-anghit,body odor
ka-angso,the smell of urine
ka-apo-apo-han,future generation(s) (of grandchildren)
ka-away,enemy
ka-ba-batw-an,stony area/place
kabag,"to have gas pains (in stomach), suffer from hyperacidity or indigestion"
kaban,cavan (unit of measure-- 25 gantas); a sackful of grain weighing approximately 100 pounds
kaban,"footlocker, trunk (for clothes)"
ka-bantog-an,"fame, popularity"
kabaong,coffin
kabasi,kind of fish
kabasi,bolo (having shape of )
kabit,"to cling to, hang on to; franchise, collaborate; mistress, paramour"
kablit,to touch lightly with one's finger
kabog,fruit bat
kabos,"to be short, run short of, not have enough of"
ka-bukir-an,mountain range
ka-bulig,"helper, assistant"
ka-daeom,depth
ka-dahil-an-an,"reason, cause"
kadlit,"mark, draw a line"
ka-dungg-an-an,"honor, fame, repute"
kaeamay,brown sugar
ka-eangit-an,the heavens; Heaven
ka-eanot-an,abaca plantation
kaeat,rope (made of abaca fibers)
kagat,"claw, pincher (of crab)"
ka-gueang-an,"eldest, oldest"
ka-gueang-an,forest
kahil,native pomelo orange: Citrus maxima
ka-hipos,"silence, quietude"
kahoy,"tree (general term); wood, lumber"
ka-hulid,"bedmate, bed partner"
ka-iba,"to be different, differ"
ka-ibah-an,companion
ka-imon,"possessiveness, jealousy"
ka-isip,"egoism, selfishness, self-consideration"
ka-isot,"littleness, tininess; triviality"
ka-kahoy-an,"forest, jungle"
kakaw,cacao tree and fruit --- used to make chocolate: Theobroma cacao L.
ka-kilaea,"an acquaintance, friend"
ka-lipay,"joy, happiness"
ka-lisod,"difficulty, hardship"
kamalig,grain house or shed
kamang,crawl on all fours
kamanga,"flint, fine stone used for sharpening razor"
kamatis,tomato: Lycopersicum esculentum Mill.
kamya,"white flower, camia"
kan--a,eat it! (imper.)
kangkang,to stretch or spread out one's feet
ka-nipa--an,nipa swamp
ka-niwang,"thinness, skinniness"
kan-on,rice; staple food
ka-nyog-an,"coconut plantation, coconut grove"
kaon,"to eat; to take (in chess), jump (in checkers)"
kaon,was eaten by someone
kapay,"propeller (on ship); to propel, paddle (boat)"
kapin,"more so, all the more, especially"
kapit,"cling to, adhere to"
kaputi,raincoat
ka-puti,whiteness
ka-ragat-an,open sea; ocean
karang,bamboo sled
ka-saea,"to sin (morally), do evil"
ka-sae--an-an,sinfulness; sins
ka-sakit,"suffering, pain"
ka-sangay,to have the same first name
ka-sari-sari,"be varied, be assorted/different"
kasing-kasing,heart; core
ka-ta-as,"height, tallness"
ka-taeon-an,rural areas
ka-tamad,"laziness, indolence"
ka-tamn-an,"orchard, plantation"
ka-tamn-an,"orchard, plantation"
ka-tawoh-an,humanity
kati,"to decoy, entice (like using one chicken to catch another)"
kati-an,"decoy; ""stool-pigeon"""
katig,outrigger (of a boat)
ka-timbang,"equal, equivalent"
katl-an,"oversexed, sex-crazy (female)"
katoe,itchy; disease – having an itchy head
katok,crazy
katri,bed
ka-tubw-an,sugarcane plantation
ka-tueog,"to be asleep; to doze off, fall asleep"
ka-tueog-on,sleep
ka-tunay-an,"truth, genuineness"
katuray,tree with edible blossoms: Sesbania grandiflora
ka-tuyo--an,"purpose, aim"
ka-uhaw-on,thirst
ka-utang-an,"debts, accounts payable"
kawayan,bamboo: Dendrocalamus merrillianus
kawil,long deep sea fishing line with reel
kawing,"to have intercourse with; fuck; to draw near to, approach"
kilaea,"to be acquainted, get introduced"
kilat,"flash of lightning, lightning bolt"
kilaw,to marinate in vinegar and serve raw
kilaw,meat or fish marinated and served raw
kili-kili,armpit
kiling-kiling,to ring (a bell)
kiling-kiling,to ring (a bell)
kimpit,"tweezers, tongs; clothespin; to pinch together; to press or hold between two things"
kina-daan,"very old, ancient"
kingking,"little finger, ""pinky"""
kingking,hop (on one foot)
kipot,"tight, not loose"
kipot,"to close, shut; tighten (up)"
kisaw-kisaw,"to flicker, have a tic (said of one's eyes)"
kitang,deep fishing line with hooks
kiyaw,kind of bird
-ko,"my, mine, I"
kongkong,to curl inwards (of one's toes)
kue-ka-tueog,to pretend to be asleep
kueob,face down(wards)
kueob,face down(wards)
kueon,earthenware pot (for cooking)
kugita,octopus
kugon,tall grass: Imperata cylindrica and Imperata exaltata
kuku,"fingernail, toenail"
kulintas,"necklace, medallion and chain"
kulis,"mark up, scratch"
k-um-a-ingking,"little finger, ""pinky"""
kumpay,"fodder, grass or food for cattle; to feed (cattle)"
kupas,"to fade (color), to lose color"
kupit,to pickpocket; to embezzle a small amount; a small amount which was embezzled
kupkop,"to embrace, hug"
kurit,"mark up, make lines in"
kurot,to pinch
kusog,"bicep; strength, vigor, power"
kutak-kutak,cackle (sound of chickens)
kutana,"to ask, question, inquire, query"
kutib,to mutter
kutkut,"dig, excavate; gnaw at, said of rats"
kuto,"louse, lice"
kuyog,"to assemble, congregate, group together"
kuyog-an,"place of assembly, meeting grounds"
la-eaki,to act like a man (said of a woman)
lapad,small flat-sided bottle; hit with the broad side of a bolo
liad,"to bend backwards, bend over backwards"
libak,malicious gossip; slander; backbiting
libat,cross-eyed
libog,"to be confused, be in a quandary"
libot,"turn, spin, revolution"
libtong,"quiet, deep, silent (waters)"
ligid,to roll in circles
ligis,"roll over, smooth out (by rolling); harrow, run over"
ligis,harrow (farmer's tool)
ligtas,"to escape, get free"
ligwan,large horsefly (< *)
likaw,"to avoid, veer away from"
liko,to turn (around a corner)
liko--an,"crossing, turning point"
likod,"back (as of a building, one's body)"
lima,"five; make into five, raise or lower to five"
limas,to bail water out of a boat
limbok,pounded rice
linga linga,"hard of hearing, slightly deaf; not listening"
linga-linga,"hard of hearing, slightly deaf; not listening"
lingaw,"be noisy, make a racket"
lingaw,"to be noisy, make a racket"
lingi,"askew, awry, crooked, unbalanced, not level"
lingling,"peer at (while hiding), sneak a look at, peek or peep at"
linog,earthquake
l-in-umot,covered with algae
li-og,neck
lipat,"to forget, to leave behind (something)"
lipay,vine like poison ivy --- causes swelling and itching
lipay,"to be happy, glad"
liwan,"outside; outside of, aside from"
lugaw,porridge (rice soup)
ma-ambon,"foggy, covered with haze, hazy"
ma-aslom,sour
ma-aso,smoky
ma-baho,"smelly, malodorous, stinky"
ma-bakas,"quick, fast, speedy"
ma-bug-at,"heavy, weighty"
ma-bungah-on,fruitful
ma-busog,"full, satisfied (after eating)"
ma-daeom,deep
ma-dueas,slippery
ma-ga-gabok,rotten
mag-ama,related as father and child
mag-asawa,"be husband and wife, be married"
mag-bu-buhat,Creator
mag-ina,to be mother and child (relationship)
mag-salapid,"to plait, to braid, to twist (hair, etc.)"
ma-gueang,elder sibling
ma-gueang,"old, elder"
ma-gueang,"relating to older people or ways; ""of the older generation""; ""adult way"""
ma-hangin,"windy, stormy"
ma-hangit-on,irritable
ma-hawan,"clear, having no obstructions, expansive"
ma-hipos,"silent, quiet"
ma-humbak,"wavy, stormy, rough (sea)"
ma-huyang,shaky
ma-ila,"wild, untamed"
ma-ila,"wild, untamed"
ma-imon,"possessive, overly protective, selfish"
ma-init,hot
ma-intok,"small, short, tiny"
ma-isip,"egoistic, selfish"
ma-isot,"little, tiny, small"
ma-itum,"black, dark (colored)"
maka-,"aptative future verb prefix in actor focus, marking ability to do something"
maka-bu-e-usog,"filling, quickly makes one satisfied"
maka-ngi-ngilo,"causes one to grimace, sets the teeth on edge (as when eating something very sour or hearing a grating noise)"
makupa,a tree and its fruit: Eugenia aquea
ma-kusog,"strong, powerful, mighty"
m-ali,come on! let's go!
ma-liko,"roundabout, indirect; improper (way of doing)"
ma-lingaw,"noisy, boisterous, raucous"
ma-lipay,"happy, glad, joyous"
ma-lisod,"to find something hard, difficult"
mama,"to chew (tobacco, betel nut)"
mamah,great grandfather
mama-matay,those destined to die
ma-miso,at one peso each
man,"answer or response particle; it can mean ""also"" or ""too"", but is used far more frequently than those English equivalents"
ma-nakaw,thief
man-dukot,"thief, pickpocket"
ma-nga-ngahoy,wood-gatherer
mani,clitoris
mani,peanut
ma-nipis,"thin, narrow, not thick"
ma-niwang,"skinny, thin"
manog-pa-kilaea,"emcee, master of ceremonies; introducer"
manok,chicken
manok-manok-on,almondine (said of eye's shape)
ma-nu-nuro,a teacher
ma-pa-it,bitter
ma-pili,"choosy, selective, ""spoiled"""
ma-pintas,"cruel, savage, mean, brutal"
ma-puti,white
ma-sakit,"painful, hurting; sick, ill"
mata,"eye; to be awake; to wake up, awaken, awake; to observe, raise, rear"
ma-ta-as,"tall, high"
ma-taeom,"sharp-edged, razor-sharp"
ma-tamad,"lazy, inactive, indolent"
mata-mata,"to look down on, belittle"
m-atay,die
ma-tibay,"durable, longlasting (cloth)"
ma-tin-aw,"clear, crystalline, crystal clear"
ma-unod,fleshy
maya,rice bird (destructive of crops)
muhmuh,"crumbs of rice, scattered rice droppings"
mustasa,mustard (plant): Brassica integrifolia
na,"particle showing that an action has begun and/or is enduring; now, already, just"
nabaw,become shallow(er)
namnam,"delicious, flavorful"
nana,pus
na-no,what (noun form only)
nato,"a tree with reddish fruit, Nauclea junghuhnii"
n-aton,our; we (incl.)
ngaean,name (one's personal name); give a name to
ngaengae,"to cry, whimper"
ngakngak,"babble, sing or say meaningless syllables"
nganga,to open up (as the mouth)
ngilo,"very sour, acrid, caustic"
ngipon,"tooth, teeth"
ngisngis,"to giggle, snicker"
ngusngus,"to whine, whimper; purr"
nguynguy,"whimper, cry, simper (in the fashion of a spoiled child trying to get its way)"
ni,"singular associate marker for the name of a person or a pet, used in postpositive position [marks possession]"
nipa,palm --- used for roofing or siding: Nipa fruticans
nipis,"to become thin(ner), less thick"
niwang,"get thinner, become skinny, lose weight"
niyog,coconut tree and fruit
nunok,tree -- believed to be bewitched or enchanted
oba,"undressed, naked, bare; to take off one's clothes"
obus,"gone, used up, exhausted, all out"
obus,"gone, used up, exhausted, all out"
olitawo,"master, sire; bachelor, young man"
-on,common object focus verb suffix for future time; common adjective suffix showing the quality of a person or thing
oto--oto,"take advantage of, play for a fool"
pa,"sustaining particle with the sense of English ""yet"" or ""still"""
pa-,causative prefix
pa-a,"thigh, upper leg"
pa-agaw,throw things for others to catch
pa-anod,go downstream; let drift
pa-aslom,"cause to become sour, let get sour"
pa-ayon,"to parallel, agree with"
pa-bangon,"to awaken, wake (someone) up"
pa-bangon,"to awaken, wake (someone) up"
pa-baya,"to let pass, not care about, ignore"
pabo,turkey
pa-buas-buas,"procrastinate, put off until later, delay"
pa-buea,"talk nonsense, 'foam at the mouth'"
pa-bukae,"to boil in water, bring to a boil"
pa-bukid,"go to the mountains, head for the hills"
pa-bulig,"ask for help, have someone assist"
pa-bunae,accept a beating
pa-bunga,to bear fruit
pa-bungoe,"act as if deaf, play deaf"
pa-dugo,"to bleed, let bleed"
pa-dukot,to dance close together
pa-dumdum,to remind (of)
pa-dungog,"to honor, celebrate, give honor to"
paea-,common noun or adjective prefix denoting a fondness for or a continuous repetition of some act
pa-eagiw,"run away and hide, avoid"
pa-eamon,to feed an animal (used insultingly of people)
pa-eat-as-an,shortcut
paeay,"rice (growing in the fields), Oryza sativa; rice seeds (freshly harvested, unmilled)"
paeo,fish sp.
paeong,"to put out (fire), turn off (light); to die out (fire), to go out (light)"
pagatpat,a tree: Sonneratia caseolaris (Linn.)
pagbo,"beam, girder (supporting roof)"
paghid,rub one's hands on something in order to get dirt off; clean off (by scraping -- without water)
pagi,"ray, ray fish"
pag-kaon,food
pagot,grind one's teeth
pagutput,let out much air while defecating
pa-hangin,let fresh air blow over something
pa-hangin-hangin,go out for some fresh air
paho,small mango: Mangifera altissima Blanco
pa-hueam,lend
pa-hueom,to lend
pa-i-lawod,to go seawards
pa-i-laya,to go inland
pa-inom,to give to drink
pa-it,bitterness
paka-matay,commit suicide
pa-kaon,to feed
pakig-impon,"gather, mingle with"
pa-kilaea,"to introduce, acquaint"
pakot,button
pakpak,"to clap for, applaud"
pakpak,"wing; to spank, slap (children)"
paku,a fern: Athyrium esculentum
palhi,"inhabited with evil spirits, enchanted"
pa-libat,to cross one's eyes; to look out of the corner of one's eye (in observation)
palid,get blown away by the wind
pa-liko,to turn (something); have someone turn
paltik,homemade gun--for only one bullet
paltik,homemade gun--for only one bullet
pa-mahaw,"breakfast; snack (so-called because it generally consists of cold leftovers, particularly rice; to eat breakfast"
pa-matay,"slaughter, kill off, exterminate (in great numbers)"
pa-mihag,"invade and capture, take over, seize"
pa-minhi,prepare seeds for planting
pa-mukaw,serenade; alarm clock
pana,bow and arrow; shoot with bow and arrow
pa-nabang,prayer (imploring divine help or favor)
pa-nabas,cut or style of clothing
pa-naeog-an,support or brace for bamboo flooring
pa-naga,to fish with a hook
pa-nakaw,theft
pa-nambit-an,"proverb, saying"
panaw,"go on foot, walk; leave, depart, go"
pa-nawag,to call out
panga,hook (for getting fruits)
pa-ngahoy,to gather/collect wood
panganay,"first born, first to do"
pang-anod,cloud
pa-ngaon,"to have an appetite, eat well"
pa-ngawil,to go deep sea fishing
pang-ayam,to hunt (with dogs)
pang-ayat,"to affront, challenge (a whole group)"
pangdan,a tree and its fruit: Pandanus tectorius
pang-dila--dila,stick out one's tongue (in a taunting manner)
pang-hi-nakit,"to feel sorry for, sympathize with; to bear a grudge, feel bad about, take ill (someone's actions or talk)"
pa-ngilat,"to be lightening, flashing, of lightning"
pa-ngitang,to fish with a long line having many hooks
pangpang,bank (of river); shoreline
pang-tueog,"pyjamas, sleeping clothes"
pang-ueo,"to lead, head, be the head (of)"
pang-uma,"to farm land, be a farmer"
pang-utana,"question, inquiry"
panihoe,"whistle, whistling (with lips)"
pa-niktik,to spy (on)
pa-nimbang,to adjust one's personality or ways to others; to be cautious or careful with others
pa-nimbang-an,counterbalance
pa-nipis,"to have a very close call (danger, death); to pass through a crowd or crowded area with great difficulty"
panit,"skin, flesh; to peel off, to skin"
pa-nubli,inheritance
pa-nuli,to clean one's ears (of ear wax)
pa-numdum,"to ponder, think, concentrate"
paon,bait (for fishing); to put on bait
pa-pa,to chew thoroughly
pa-palid,"to winnow, separate the grain from the chaff in the wind"
pa-puti,"to whiten, make white"
parakoe,axe
paraw,sailboat
pa-ripa,to have a raffle
pa-sakit,to cause/inflict suffering on
pa-sikat,"to be a show-off, exhibit one's prowess conceitedly"
pa-soso,"to suckle, breastfeed"
paspas,"to hurry up, speed up, go faster; fast, quick, hurried; rash, too quick"
pa-sugbo,smelted (in another metal)
pa-ta-as,"let get taller, let grow"
pa-tabas,"to have tailor-made, bring to a tailor"
pa-takae,to have a sow serviced
pa-ta-likod,to make someone turn around; to do behind one's back
pa-tawad,to forgive
p-atay,"kill (person, animal); put out, turn off (a light); corpse, dead person"
patay-patay,"""dead"", poor, slim, inadequate, lousy"
patik,"beat, rhythm, count (in music) drumstick"
patis,seasoning made from fish oils and salt
pa-tubo,to let grow; lend with/on interest
pa-tueo,to let trickle or drip
pa-tueog,"to put to sleep, hypnotize"
pa-tukar-on,"steep, uphill"
pa-udtoh-on,gibbous (waning); 3rd quarter
pa-uli,have (something) returned; ask to return
pa-utang,"credit; lend money; give, extend credit"
pawikan,large sea turtle
paypay,"to beckon to, call over by waving one's hands"
pihak,the other side; half
pihak,to cut into two equal parts; halve
pihak-an,"uneven-sized, one is larger than the other"
pikit,tight; get tight(er) or more crowded
piko,"mattock, hoe"
pikpik,pat with one's hand
pila,"how much? [money], how many? [in quantity]"
pilak,silver; wealth
pilak-an,"wealthy, well-to-do"
pilang ka,"some, a few"
pili,"to select, choose, pick out; to take out any bad or ruined grains from rice pile"
pili-an,leftovers (after others have taken the best)
pili-li-an,election(s); choosing
pilit,"to glue, stick together, fasten with paste"
pilit,"glue, paste"
pilit,"to force, compel, insist on"
pilo,"fold, bend, crease; hem (of dress)"
pintas,"to treat cruelly, be brutal with"
pisik,"splatter, fly off in all directions"
piso ~ pisos,peso
pitak,"granary, warehouse (for grain)"
pitik,a flick of one's finger; to flick with one's finger; a line (usually made by flicking a taut piece of string coated with ink or dye)
pito,seven
pito,whistle (instrument blown)
pito,to blow a whistle
po-po,"gather, harvest (fruits)"
puas,to become clear (said of weather); to become optimistic (after some dark days)
puea,become red or reddish
pueaw,"stay up late at night, go to bed late"
pueo,handle of a bolo
pueo,island
pueot,"sticky sap, syrup"
puga,"to wring out, squeeze (to get out excess water)"
pugad,"nest; to nestle, be in the nest"
pugar-an,"nest, nesting place"
pukan,to cut down a tree
pukaw,"to awaken, wake up (someone)"
pukpuk,"to pound, knock, bang"
puling,"to get something in one's eye, get blinded (with foreign elements in the eye)"
punay,type of dove
pungpung,to bundle up; a bundle
puno,"to lead, start out first"
puno,full; to fill up (as a bottle with liquid)
puno,"tree, trunk (of tree); base, bottom; beginning, start; leader, head"
puno-an,"leader, leadership"
punta,"point, end (top part)"
puslit,"to spurt, gush out"
puso,"banana flower, banana heart"
pusod,"navel, belly button"
pus-on,stomach area below the navel
puti,to become white(r)
puto,rice bread
putoe,"short, brief; trimmed, clipped; cut off, amputated; to shorten, clip off; amputate"
putot,"short, little, small, runt"
putput,to putt (make the sound of a slow engine)
puyo,mudfish
rami,fibers woven into cloth: Boehmeria nivea L.
raya-raya,stripe(s)
rima,breadfruit
ripa,raffle; chance (on a raffle)
sa,"referent marker, used to illustrate locations, indirect objects, beneficiaries and agents in causative constructions; it is also used to indicate future time with any words stating time"
sa idaeom,underneath
sa lunes,on Monday
sab-a,"small round banana, good for cooking, Musa sapientum var. compressa"
sabaw,"juice; soup, broth"
sab-it,to hang up (on the wall)
sabod,to feed (fowl or poultry)
sabong,"cockfight, cockfighting"
sabot,pubic hair
sabsab,"to lap up. drink (with tongue), said of animals"
sabsab-an,feeding trough
sabunot,to pull hair when fighting
sabwag,"to sow, to scatter (seeds); to broadcast seeds"
saea,"sin, error, mistake, wrongdoing; to err, make a mistake, do wrong"
saeapang,"spear, javelin"
saeapid,"to braid, entwine"
saeod,vessel used for gathering
saeod,catch a dripping liquid like (coconut wine)
saeog,split bamboo stick (used for flooring); floor
saeong,sap of tree
saeot,evil; the work of the Devil. or evil spirits
sago,"carrion, dead/decaying flesh or body"
sago,"ball of starch made from araro (arrow root), and used in desserts"
sago,"carrion, dead or decaying flesh or body"
sag-ob,"to fetch water, get water; bamboo container about two meters long used to fetch water—carried on shoulder"
sakay,"ride (on), travel (on), get on (vehicle), mount (an animal)"
sakit,"illness, ailment, infirmity; to be hurt by, suffer from; to hurt (physically), cause pain"
salidsid,"to slice thinly, cut near or on the surface"
sambit,"to speak of, mention"
sanga,a branch; to branch off (river); produce branches (tree)
sangay,"namesake, person having the same first name"
sangead,to run aground (ship)
sangga,"base, platform; dish of water used to keep ants from getting into another container on that dish"
sangit,"to get entangled, get tangled up, delayed, get hung up"
sangkap,"tool, utensil; well-equipped, complete, having all that is needed"
sang-kurot,"little, few, a little bit, just a little"
sangsang,"be harsh on, be stern with"
sapa,"pond, small lake"
sapa-sapa,"pond, very small lake"
sapa-sapa-an,"overflooded in areas, covered with puddles, ponds"
sapin,shoes
sapsap,"chip, piece of; to chip off, get a piece of"
sapsap,fish sp.
sapupo,"to nurse back to health; revive, help (the sick)"
sari-sari,"assorted, varied, different; store"
sasa,nipa leaves (for roofing)
sasa,to derib nipa leaves
sawa,snake (generic term)
sawali,woven bamboo (< )
sawa-sawa,"game where a group of people line up, hold on to the waist of the one in front of each, and follow the leader"
saysay,"to tell, relate, describe, narrate"
si,"topic marker for the name of a person or a pet, denoting the singular"
siba,"to devour, swallow (said of large animals, as a crocodile)"
sibit,to scratch or cut out (a sliver or thorn embedded)
siga,"sparkle, shine"
siga,"to sparkle, shine"
sigang,to make fish and vegetable soup
sigang,soup made with fish and vegetables
sigay,sea shell --- used as toy by children or as gambling pieces by some gamblers
sikad,to press/push with one's foot; brace oneself; to kick
sikat,"popular, popularly accepted; ""cool"", ""groovy"", ""neat"""
siko,elbow
sikoe,"to elbow, hit with elbow"
siku,"to elbow, hit with elbow"
silak,"sunshine, sunlight; to shine (of the sun)"
silak-silak,"to shine, radiate"
singkamas,tuber --- yam bean (Pachyrrhizus erosus)
singkit,almondine (eyes)
sipi,"section, as of an orange or jackfruit"
siping,"extra digit, extra finger or toe"
siping-on,having an extra finger or toe
sipit,large tongs (used for asjusting a fire); hairpin
sipit,carry under one's arm
sipot,"to consume totally, exhause, use up all; totally used up"
sitsit,"to hiss; call a person with ""pssst"""
siyam,nine
soso,female breast
subli,"to take another's place, replace, substitute for"
subsub,to be headed downwards; dip; fall headlong; have the front down
sudlay,comb; to comb out
sudsud,blade of plow
sueo,torch; to use as a torch
suesue,"to ignite, set on fire, kindle"
sugbo,"to immerse, dunk into liquid"
sugod,"bite, sting (said of insects)"
suka,"to vomit (out), throw up"
suki,regular customer; regular agent or dealer; to always do business with
sukot,to collect debts
suksuk,house lizard (small)
sumpa,"promise, oath, pledge, vow (in good connotation); curse (in bad connotation); to vow, swear, promise; to curse"
sumpit,"to jet out, splurt, squirt (out); blowgun"
sumpong,"to 'blow up', get/become hot-headed"
sundang,knife
sungay,horn (of animals)
sungit,"serious, solemn, crabby, out of sorts"
sungka,"game played with stones or marbles, attempting to get all the pieces of one's opponent"
sungo,"""whisker"" of shrimps"
sungsung,"stopper, cork; to cork up, stop up, put a stopper in"
suntok,rap or hit with one's knuckles
suntok,"to rap or hit with one's knuckles, especially on the head"
supa,"to munch on, chew thoroughly with the pupose of getting out the juice or the flavor"
supot,paper or cloth bag
suyod,steel-spiked harrow; to harrow with this implement
taan,fish net (across river)
ta-as,"become taller, grow taller; raise, elevate"
taba,"fat, stout, plump"
tabak,"swordlike beak (of a swordfish); long pin, hat pin"
taban,snatch with one's jaws (like a dog stealing food)
tabang,"to help, assist"
tab-ang,"fresh drinking water; insipid, flat, tasteless, flavorless"
tab-ang,"fresh drinking water; insipid, flat, tasteless"
tabas,"to cut into shape, tailor"
tabas,rags; clothing scraps
tabid,"attach, join"
tabog,something used to shoo away (flies)
tabog,"to shoo, scare away"
tabtab,"to chop, cut (up)"
ta-buli,turn the rear to
tadtad,"to hack, hit repeatedly with a blade"
tadtar-an,"chopping block, cutting board"
taeaba,oyster
taeom,"sharp-edged, razor-sharp"
taeon,field; underdeveloped or overgrown land
taetae,"to remove, take down"
taga,hook
taga,to strike with a sharp object
taga-,"noun prefix denoting a place of origin or where a person hails from, often thought of as an equivalent for the English preposition ""from"""
taga-bukid,"person from the mountains (derogatory, implying backwardness)"
taga-li-og,"""neck-deep"" (in troubles), be on edge, edgy"
tagay,to pour out (slowly)
tag-b-ue-unga,fruit-bearing season
tag-buhat,"craftsman, creator"
tag-ihi,feel like urinating
tagi-puso--on,heart
tagkos,"binder, a piece of cloth wrapped around a painful part of the body, usually head or waist"
tagok,sap of tree
tagom,medicinal tree
tahi,"to sew (, )"
tahop,to sift
tai,"stool, feces; to defecate"
takae,"boar, male pig; oversexed man, sex maniac"
takang,"to totter, half walk (said of baby only)"
takaw,"steal, take (without permission)"
takba,"to service, engage in intercourse (like animals, from behind rather than in front)"
takos,"to measure out, allot; mete out"
ta-likod,"to turn one's back to; turn one's back on, refuse help; give up"
talinum,an herb: Talinum triangulare
talisay,tree with edible nut: Terminalia catappa L.
ta-liwan,"to bypass, go by, pass by"
tama,"right, correct, enough; to hit directly, make a bullseye, hit straight on"
tamad,"to feel lazy, not feel like working; a lazy person"
tamaraw,species of wild carabao found only on Mindoro
tambae,medicine --- coagulant
tambae,medicine: coagulant; to stop bleeding
tambak,pile; to pile up (one on top of another); fill (hole)
tambaw,"be over one another, overlapping"
tami,"test food, taste (using one's finger)"
tamilok,large edible worm found in trees
taming,shield
tamn-an,field [for planting]
tampoe,medicinal leaf used as plaster
tamsak,"to splash, splatter"
tamsik,"splash, splatter"
tanangaw,rice bug (damages rice by sucking the unripe grains)
tan-aw,"to see, look at"
tanda,"to mark; remember, commemorate"
tanga,"scatter-brained, absent-minded, foolish, gullible"
tanga,to look upward
tangag,to elope with
tangead,lemon grass (used for seasoning): Andropogon citratus DC
tangigi,"large, delicious fish"
tangil,shim (something used to level off an unbalanced table or chair that is wobbling)
tangili,a tree: mahogany
tangis,"to cry, bawl (tears)"
tangpa,to pay tax for
taning,limit (to life); predestination
tanom,to plant
tanom,"rice seedling, rice shoot"
ta-on,fish trap in river
tapa,to dry out
tapa,dried meat
tapah-an,drying rack
tapay,yeast
tapi,"board, lumber"
tapos,"to finish, complete, end, come to a close"
taranta,"to be confused, nervous"
tasik,"brine, salty water"
tatlo,three
tatlo,"to raise or lower to three, make three"
tawad,discount
tawag,"to call (for), page"
tawo,"person, people; man"
taya,"a bet, wager; to bet, wager something"
tiaw,a delicious soft-boned fish
tibok,"to beat, thump (said of the heart)"
tigis,to pour out
tig-pito,"seven-by-seven, seven at a time"
tigu-dwa,"two by two, two at a time"
tiktik,"detective, spy, agent"
