word,etymology,pos,classification,definition,similar,opposite
artista,sp,n,,"star, movie star, actor",,
artisyan,eng,n,,artesian well; any deep pump-well,,
aruna ,oak,rv6,,to go there (near listener) ,,
aruro,,rv1,,"to fondle, cherish, be fond of",,
asa,tag,rv3,,"to trust, hope",salig,
asae,sp,rv1,,"to barbeque, roast (on a stick)",,
asag,,adj,,"crabby, irritable",,
asak,,rv7,,"to splatter, splash","asik, tagsik",
asawa,,n,,spouse; husband/wife,,
asawa,,st2,,to be married (said of a woman),,
asaw-asaw,,rv7,,"to drizzle, rain lightly",,
asayte,sp,n,,oil,"asyete, asiti",
asenso,sp,n,,"promotion, improvement, rise (in status/rank)",,
asento,sp,n,,"accent, stress",,
asento,,rv3,,"to put an accent on, stress, accentuate",,
asero,sp,n,,steel (metal),,
asertar,sp,rv3,,"to be lucky, be fortunate",,
asgad,,adj,,"ticklish, itchy",askad,
asido,sp,n,,acid,,
asik,,rv7,,"to splash, spatter","asak, tagsik",
asin,,n,,salt,,
asin,,rv3,,"to salt, put salt (into)",,
asindero,sp,n,,"ranch man, owner of a large ranch (or) farm",,
asinta,sp,rv1,,"to promote, raise, elevate",,
asintado,,adj,,"sharpshooting, having a good aim",,
asiti,sp,n,,"oil, lubricant ","asyete, asayte",
askad,,rv7,,"to be itchy, be ticklish (throat)",asgad,
asla,,st1,,"to be bored, be satiated; lose one's desire orappetite (for), be tired of",,
aslom,,rv1,,make sour,,
Aslum,,n,,barrio of Ibajay,,
aso,,n,,"smoke, fumes (visible)",,
aso,,rv7,,"to give off smoke, to smoke",,
asog,,n,,"any woman who acts outside of the female role; lesbian, tomboy",,
asoy,oak,rv2,,"to tell, relate (a story, situation)",,
aspalto,sp,n,,"asphalt, tar",,
aspalto,,rv1,,to asphalt; put on asphalt,,
asparagus,eng,n,,asparagus (sn: Asparagus officinalis),,
astrunot,eng,n,,"astronaut, space pilot",,
asugi,sp,n,,mercury (liquid metal),,
asukar,sp,n,,sugar (white),,
asunto,sp,n,,"lawsuit, case (in court)",,
asunto,,rv1,,"to sue, file a lawsuit (against)",,
asuos,,n,,(fish),,
aswang,,n,sup,"vampire, evil creature (preying on people, sucking liver bile and leaving them weak or with some strange afflictions)",,
aswang,,st4,,to be under the spell of an aswang,,
aswang,,n,expr,"ghoul, cannibal; any person or animal eating flesh of its own kind",,
ata,,intj,,"""oh, my goodness"" (expression of surprise)",,
ata,oak,n,,"fluid, potion, liquid",,
ata,,n,stf,semen,"ugwak, guwan",
ata,,n,gen,sexual fluid(s),"ugwak, guwan",
ata,,n,vul,"""scum""","ugwak, guwan",
ataat,,n,,"small gap, crack",,
ataat,,n,,"to leave a small gap, crack",,
atab,,rv7,,"overflow slightly, flood over a little bit",,
atag,,adj,,generous,,
ataki,sp,n,,attack (in war; heart attack; stroke),,
ataki,,rv1,,to attack (in war),,
ataki,,st4,,"to get a heart attack, have a stroke/high blood pressure",,
atang,,n,,a room divider,,
atang,,rv2,,"to put up, hoist",,
atang-atang,,n,,"step, stair",,
atas,,rv7,,to evaporate,,
atas,,st3,,to accidentally ovaporate,,
atas,,st5,,to run dry,,
atay,,n,,liver (of animals or people),,
atensyon,eng,n,,attention,,
atgaw,,n,,(tree--medicial) (sn: Premna odorata Blanco),,
athag,,adj,,"clear, lucid",,
ati,,n,,"Aeta(s), Negrito(s) (living in the mountains)",,
ati,,adj,,dirty,,
ati,,intj,,"get away, it's dirty!",,
atimon,,n,,canteloupe (sn: Cucumis melo L).,,
atip,,n,,"( a large board or piece of wood used as a brace or support, particularly when grinding)",,
atipan,,rv1,,"to watch, guide, take care of",,
atipuyong,,st1,,"feel faint, be dizzy",,
atis,,n,,(fruit) sugar apple (sn: Anona squamosa Linn.),,
aton,,a/pro,,ours: we (including you),,amon
atop,,n,,roof,,
atraka,sp,rv1,,"to draw near to, pull in close to; dock (ship)",,isoe
atras,sp,rv3,,"to back up, put into reverse",,opp
atribir,sp,rv3,,to meddle (in),,
atsara,sp,n,,"salad, tossed salad",,
atsay,ch,n,,housegirl,mutsatsa,
atsi,,rv5,,to sneeze,baha-on,
atubadngan,,n,,"front, in front of",,
atubang,,rv4,,"face (up to), confront, stand/appear in front of",,
atubang,,n,,front,,
aturgar,sp,rv3,,"to take charge (of), be responsible (for)",oturgar,
atyog,,adj,,wandering,"tiyog-tiyog, libod-libod",
awa,,n,,(fish),,
awak-awak,,rv7,,"to be plentiful, be in abundance (said of liquids)",,
awas,,rv7,,"to overflow, spill out (over the sides)",,
awat,,rv1,,"to bother, be cumbersome, be a burden",,
away,,rv1,,"to fight, quarrel, argue",,
awhag,,rv1,,"to hail, call or talk to someone (from a distance)",,
awto,sp,n,,"car, auto, automobile",,
awtomatiko,eng,n,,"snap, a snap fastener (used on dress, trousers)",,
ay,,am,,singular associate marker used for names of persons or pets in prepositive position,,
ay,,conj,,"because, since, while","bangod, dahil, tungod",
ay,,dp,,"""first"", ""please"", ""for a while""",,
ay,,intj,,"""my!"", ""oh!"", ""what?"" (shock, surprise)",,
ayaay,,adj,,"poor, bad (harvest, catch)",aeaay,
ayad,,rv1,,"to fix, repair, restore",,
ayad-ayad,,rv1,,"to beautify, decorate",,
ayag,,rv1,,"to screen, sift",,
ayam,,n,,"dog; chase with a dog, sic a dog on",,
ayam,,rv1,,"to chase with a dog, sic a dog on",,
ayap,,rv3,,"to raise the same (kind) as, follow suit",,
ayat,,rv1,,to challenge (to a fight),,
ayaw,,rv4,,"abandon, leave behind",,
ayaw,,rv1,,"to even out, make exactly (by adding some more)",,
ayaw,,neg,,"""don't"", ""do not"" (used in negative commands)",,
ayaw,,st5,,to be fed up with; have too much of,,
ayi,,n,,pancreas (internal organ),,
ayo,,rv3,,"to ask for a discount, ask a reduction (in price)",,
ayo ,,n,,"discount, reduction",,
ayod-ayod,,rv6,,"to move the waist up and down, back and forth (as in the act of intercourse)",,
ayon,,rv3,,"be in favor of, support, agree with",,
aysdrop,eng,n,,"popsiole, ice drop",,
ayskrim,eng,n,,ice cream,serbete,
ayuktot,,rv6,,"to stoop over, bend over",bayukot,
ayutong,,n,stf,pap,,
ayutong,,n,gen,nipple (of breast),,
ayutong,,n,vul,"""tit""",,
ba,,intj,,"expressions of disbelief: ""really?"", ""ah?""",,
baae-baae,oak,adj,,"rough, unsmooth, not thoroughly finished (tabletop)","baghae, baraghae",
baak,,rv3,,to cut bamboo lengthwise,,
ba-ba,,n,,mouth,,
babad,tag,rv2,,"to soak, leave In liquid",,
babayi,,n,,woman; female,,
baboy,,n,,"pig, swine, hog; pork",,
badbad,,n,,"unravel, take apart (as threads in a garment); to fray, get unravelled",,
badlis,,n,,"mark, sign",,
badlit,,n,,lines or marks in the palm,,
badlo,,n,,"phlegm, thick mucus (in the throat)",,
badlong,,rv1,,"to reprove, correct, admonish",,
badminton,eng,n,,badminton (game),,
badyang,,n,,aroid plant--decorative (sn: Alocasia macrorrhiza),,
Badyangan,,n,,barrio of Banga,,
badyawan,,n,,"vine--with bitter sap, medicinal (sn: Tinospora
rumphii)",,
Badyo,,n,,barrio of Numancia,,
baea,,dp,,"particle used to emphasize questions; ""really?"" ""... was it?""",,
baea-an,,adj,,"holy, sacred, blessed",,
bae-a,,n,,fiah--fresh water,,
baeabag,,adj,,"blocking, obstructing, put across, stretching over; thwart, hindrance, obstruction",,
baeaka,,n,,"concern, earnest help, generous assistance",,
bae-ag,,rv3,,to file (down),,
bae-ag,,rv3,idm,"to make a sucker of, fool (in order to get something in return)",,
baeagon,,n,,vine (generic term),,
baeahibo,,n,,"hair, fine body hair (mammals); feather(s) (fowl)",,
baeanak,,n,,fish sp.,,
baean-an,,n,,basket used for fishing (like a net),,
baeanaw,,n,,puddle (of water),,
baeanta,,rv6,,"to overturn, fall over",,
baeantik,,n,,eye of vegetables (as on potatos),,
baeanga,,n,,"loss of attention, distraction",,
baeangag,bkd,rv1,,to mix (or) eat uncomplementary foods (such as beer and candy),,
baeangaw,,n,,rainbow,,
baeangay,,rv6,,"to swim on one's back, do a backstroke",,
baeangka,,rv1,,"take apart, dismantle",,
baeanggangat,,adj,,"interwoven (vines, twigs); interlocked (horns of two fighting reindeer)",,
baearas,,adj,,"oblique, at an angle",,
baearaw,,n,,arrow (bow and arrow),,
baearing,,rv1,,"to toss, throw, heave it (at some object)",,
baeas,,n,,sand,,
baeasa,,rv1,,"to shuffle (cards), mix well (papers)",,
baeasugi,,n,,fish,,
baeat,,n,,edible green or black eel found at seashore,,
baeatik,,n,,"booby trap, improvised trap, (to catch by surprise)",,
baeatok,,n,,bean,,
baeatong,,n,,"mongo bean, green gram (sn: Phaseolus aureus)",,
baeaw,,adj,,having alternating colors (chicken),,
baeay,,rv1,,"to construct, set up framework",,
baeay,,n,,"house, home; buliding (in general), construction",,
baeay-baeay,,n,,"doll house, toy house, minature house",,
baeaybay,,rv1,,to compose verses or poetry; write creatively,,
baeayi,,n,,the relationship of the parents of each wedded couple; co-parents-in-law,,
baebae,,rv1,,"to whip, beat",,
baeo,,n,,"knowledge, awareness of",,
baeubad,,n,,tobacco leaf (used as outer covering of cigar),,
baeubay,,n,,very small stems of a coconut that branch off in a vine-like manner,,
baeo-bo,,rv1,,to remove the shell of abaca,,
baeok,,n,,dried bamboo scraping (used as a tinder),,
baeokag,,n,,hair growing along the back of a pig,,
baeod,,n,,bird ,,
baeod,,n,,"wave (ocean, sea)",humbak,
baeoe,,n,,dried salted fish,baroe,
baeon,,n,,"provision(s), supply (food or money for a journey)",,
baeos,,n,,"revenge, repayment; pay back (a favor), revenge (a crime), get even",,
baeuskay,,rv1,,"to rummage through, dig through (like when look ing for papers in a disorderly file)",basuk-ay,
baga,,,,"glowing ember; be aglow, smoulder",,
baga,,,,"swollen, swelled up",,
baga,,,,lung,,
bag-ang,,,,"molar tooth, molar teeth",,
bagani,,,,"hero, patriot",,
baganih-an,,,,"heroism, patriotism; heroes, patriots (collectively)",,
bagay,,,,"suits, matches; complementary, becoming; to complement, be appropriate, match; tune a musical instrument",,
bagay,,,,"thing, case; the right thing",,
bagbag,,,,"to crash, come or fall down (as a plane that crashes)",,
bago,,,,"before, prior to",,
bago,,,,bago tree (sn: Gnetum gnemon),,
bag-o,,,,new; recently,,
bagsak,,,,bedbug,,
bagsak,,,,"to crash, fall down",,
bagyo,,,,"hurricane, storm",,
baha,,,,"flood; to overflow, flood",,
bahag,,,,"G-string, breechcloth; underwear",,
bahaw,,,,"cold rice; cool off, get cool (said of food)",,
bahi,,,,hard stick,,
baho,,,,"smell, odor, stench; to stink",,
bahog,,,,"swill, slop, pig food; to feed pigs; pour soup on",,
bahog-an,,,,feeding trough for pigs,,
baka,sp,n,,cow; beef,karne,
baka,,rv6,,to walk under great weight; walk with legs apart,,
bakae,,rv1,,"to buy, purchae",,
bakaean,,n,,verticle stud(s) in a structure to which the wall boards are fastened,,
bakak,hil,n,,"lie, falsehood",puril,
bakan,,,,kind of tree,,
bakang,,,,"to walk with the knees apart, walk bowleggedly; bowlegged",,
bakas,,,,"hurry up, hasten, quicken",,
bakawan,,,,tree that is good for firewood (sn: Rhizophora mucronata),,
bakbak,,,,take off the bark of a tree,,
bakla,,,,"homosexual, queer; effeminate man",,
balete,,,,balete tree (sn: Ficus benjamina L).,,
bali,,,,"broken, fractured",,
bali,,,,"get broken in two, get fractured (as an arm)",,
balila,,,,"fish -- quite long, with plenty of spines",,
baling-baling,,,,"unsteady, aimless (said of a flying object without aim)",,
balintawak,,,,"native dress, knee-length, worn only for dances",,
balisong,,,,"long, sharp knife common to Batangas",,
balita,,,,"news, report; newspaper; to report",,
baliw,,,,bewitched,,
banaag,,,,"rays (of the rising sun); to be rising (said of sun), send off rays",,
banaba,,,,medicinal tree (sn: Premna cumingiana Schaver),,
bana-bana,,,,"tree, fruit, guayabano  (sn: Anona muricata L).",,
bana-bana,,,,"estimation, calculation; opinion",,
banaw,,,,"to wash (hands, feet)",,
banban,,,,herb used for roofing  (sn: Donax cannaeformis),,
banga,,,,palm tree  (sn: Orania palindan),,
bangbang,,,,"fall down, cave in (such as sides of riverbank)",,
bangga,,,,"ambush; collide, hit together",,
bangil,,,,shim (something used to level off an unbalanced table or chair that is wobbling),,
bangkae,,,,tree with reddish fruit (sn: Nauclea junghuhnia),,
bangkat,,,,woven basket (for small fishes),,
bangkaw,,,,spear,,
bangkay,,,,"corpse, dead person",,
bangkiling,,,,(tree) (sn: Cicca acida),,
bangod,,,,because (of),,
bangod,,,,"to blame, accuse",,
bangon,,,,"get up (out of bed), arise",,
banlaw,,,,rinse out (with water after soaping),,
banog,,,,bird of prey (hawk),,
bansag,,,,"famous, popular, noted",,
bantae,,,,to dam up,,
bantog,,,,"famous, noted, well-known; to announce",,
banwa,,,,"town, country",,
banyaga,,,,"criminally-inclined, evil-minded",,
baog,,,,"putrid, ruined, spoiled, rotten; sterile (incapable of bearing children)",,
baog,,,,"to putrefy, rot (like old eggs)",,
barang,,,,"black magic, voodoo, witchcraft",,
baranggay,,,,"native boats -- of historical import, which brought the first Malaysian settlers; club, group, organization",,
barlak,,,,"shine, radiate",,
basag,,,,broken,,
basag,,,,to break,,
basbas,,,,"chip off, trim off",,
basi,,,,"model particle expressing ""maybe, perhaps"", ""might, may""",,
bata,,,,"childish, young, youthful, immature",,
batbat,,,,pound out metal,,
batiis,,,,"calf, lower leg",,
bato,,,,stone,,
bato-bato,,,,kidney,,
batok,,,,nape of neck,,
bawi,,,,"to reclaim, repossess, take back, salvage",,
bawog,,,,bamboo spring in a booby trap,,
baya,,,,to ignore,,
bayad,,,,payment; pay,,
baybay,,,,"beach, seashore; bank (of a river)",,
bayo,,,,"to box, hit, pound, pummel",,
bayuong,,,,buri bag (usually for one cavan),,
baywon ta,,,,I'll box you,,
bias,,,,"joint, notch (of finger); internode of flora, the part between the joints of flowers and plants",,
bias,,,,"joint, notch (of finger); internode of flora, the part between the joints of flowers and plants",,
bibi,,,,duck,,
bibig,,,,lip(s),,
bibingka,,,,"cake made of rice or cassava, cooked between two fires",,
bida,,,,"hero (of story, movie); main actor",,
bidhanan,,,,filled with fish eggs,,
biga,,,,sexual excitement or feeling,,
biga-on,,,,oversexed (female),,
bigkis,,,,sash (piece of cloth wrapped around the waist),,
bihag,,,,capture; get the prize (at a cockfight),,
bihod,,,,"fish eggs, caviar",,
bika,,,,"shard, potsherd (broken piece, chip off earthenware vessels)",,
bika,,,,"spread the legs apart, do a split",,
bilang,,,,"somewhat like, considered as, like; consider (as), reckon (as)",,
bilang,,,,"somewhat like, considered as, like; to consider as, reckon as",,
bilanggo,,,,"to imprison, jail",,
bilanggo-an,,,,"prison, jail",,
bilas,,,,"the relationship between two outside in-laws, such as the wife of one brother to the wife of another brother",,
bili,,,,"cost, price, value, worth; be worth, have a value, be priced at",,
bilin,,,,"leave behind; order, request",,
b-il-itay-an,,,,"gallows, place of hanging",,
bilog,,,,"solid, entire, whole; full (moon)",,
bilog,,,,"consolidate, unify, make into a single unit; unit",,
bingat,,,,"pull open, pull apart",,
bingka,,,,dessert cake,,
bingkit,,,,"join, unite, tie together",,
bingkong,,,,"curl up (fingers, paper)",,
binhi,,,,"seed, grain",,
b-ini-as,,,,"section, internode, joint (of plant, finger)",,
b-in-iray,,,,sailboat -- usually three boats tied together during a water festival,,
bintoe,,,,fish trap,,
b-in-uean,,,,monthly,,
b-in-uhat,,,,"creature, creation",,
b-in-umba,,,,was pumped by,,
b-in-umbah-an,,,,were bombed,,
b-in-utw-an,,,,"blistered, having blisters",,
bira,,,,"sock, punch, box, hit",,
biri-biri,,,,beri beri (disease caused by lack of thiamine),,
bisa,,,,"effect, result",,
bisan,,,,"although, no matter, even if",,
bitas,,,,"slit open, split up; pull apart",,
bitay,,,,"hang, suspend",,
bitbit,,,,"carry in one's hand (usually by a handle, like a suitcase or a trunk)",,
bitik,,,,flea (as on dogs),,
bitin,,,,poisonous snake,,
bitin,,,,"pull up; dangle, hang (from)",,
bitu-on,,,,star (general term),,
bobo,,,,fish trap,,
bo-bo,,,,"pour out, dump out",,
bola,,,,ball,,
bolah-an,,,,ballfield,,
bolimbod,,,,to tie up (by running the string around many times),,
bosina,,,,horn (as on motor vehicles),,
botiti,,,,"poisonous fish with bloated stomach; bloated, swollen, inflated",,
boto,,,,to vote for,,
boto,,,,"penis, male organ",,
buas,,,,tomorrow,,
bubon,,,,open well,,
bubon-bubon,,,,soft spot or crown (of infant's head),,
bubong,,,,inside roof,,
bubong-an,,,,"rafters, attic, inside area of roof",,
budbud,,,,to wind up; spindle,,
budbud,,,,wind up; spindle,,
buding,,,,"soot, carbon",,
buea,,,,"froth, foam, bubbles; to form bubbles or foam; talk with pride about oneself or others",,
buead,,,,dry out in the sunshine,,
bueag,,,,"to separate, disjoin, put/pull apart; leave one another, separate, go apart",,
bueak,,,,flower (generic),,
bueak-bueak,,,,embellishment (in speech); artificial flower,,
buean,,,,"moon, month",,
bueang,,,,blade (used in cock fighting); enter a rooster into a cockfight,,
bueang-an,,,,"gallery, arena, place for a cockfight",,
bueaw,,,,become jaundiced,,
bueaw,,,,fish with yellow stripe,,
bueaw-an,,,,gold,,
bueawan-on,,,,golden,,
buebue,,,,hair (of animals or people); feathers (of fowl),,
bueo-buko,,,,ankle,,
bueong,,,,"medicine, cure; to medicate, cure, administer medicine",,
b-ue-uhat-on,,,,"work, deed",,
bufy-ad,,,,have one's stomach protrude or stick out,,
buga,,,,"exhale, blow out (smoke of a cigarette)",,
bug-ak,,,,"proud, haughty, boastful",,
bugang,,,,kind of grass used for making brooms (sn: Phragmites vulgaris),,
bugas,,,,"uncooked, polished rice",,
bug-at,,,,"become heavy, get heavier",,
bugaw,,,,"fly whisk; matchmaker, pimp",,
bugaw,,,,"to shoo, drive away, evict",,
bugay,,,,"give, offer",,
bugbug,,,,"beat to unconsciousness, knock out; get knocked out",,
bugkos,,,,"bundle, package; to tie up, bundle, package",,
bugnay,,,,tree with red fruit (sn: Antidesma bunius (L.) Spreng.),,
bugsay,,,,"paddle; oar (for boat); to paddle, row (a boat)",,
bugto,,,,"to break, snap",,
bugtong,,,,only child,,
buhat,,,,"to make, do, work; create",,
buhis,,,,a tax; impose a tax,,
buhok,,,,hair (on head),,
buhos,,,,to open a dam,,
buka,,,,"to open up (usually something that is hinged, like an oyster or can; also lips); get opened up",,
bukad,,,,"unroll, roll open, unwrap",,
bukae,,,,to boil (said of heated liquids),,
bukas,,,,"to open up (window, door)",,
bukaw,,,,owl,,
bukbuk,,,,bamboo gnat; powder or dust left by boring of insects,,
bukead,,,,open up (as the hand),,
bukead,,,,to open up (as hand),,
bukid,,,,mountain,,
bukid-non,,,,mountaineer,,
buko,,,,joint (of bamboo); wrist,,
bukoe,,,,"very young coconut; swell up, protrude, stick out, stick through (like a pen underneath a piece of paper)",,
bukon,,,,"not, no, it is not (used to negate nominals and adjectives or similar descriptions)",,
buktot,,,,"hunchbacked, stoop-shouldered",,
bulador,,,,kite,,
bulalakaw,,,,"bird, believed to be carrier of evil spirits",,
buli,,,,"rear, back",,
bulig,,,,bunch of bananas or similar fruits,,
bulig,,,,"to help, assist; help, assistance",,
bulilit,,,,"dwarfish, tiny",,
bulinaw,,,,very small fish,,
bulong,,,,"whisper, speak softly",,
bulong-bulong-an,,,,"rumor, gossip, whisperings",,
bumba,,,,"to bomb, drop bombs on",,
bumba,,,,"to pump (water, gas)",,
bumba,,,,"pump (for water, gasoline, etc.)",,
bunae,,,,stick (used for beating),,
bunae,,,,stick (used for beating),,
bunae,,,,"beat up, batter",,
bunak,,,,"wet, damp; to moisten, dampen, wet",,
bunbun,,,,"young rice seedlings, rice shoots",,
bunga,,,,bear fruit,,
bunga,,,,"fruit; betel nut (palm, nut) (sn: Areca catechu var. Alba)",,
bunga-bunga,,,,small mouse,,
bungah-an,,,,"list of answers for an exam, 'cheat sheet'",,
bungbung,,,,partition; temporary wall,,
bungi,,,,harelip,,
bungi,,,,having a harelip,,
bungkag,,,,"dismantle, take apart, undo; be disrupted, get taken apart",,
bungkog,,,,hump (bump on back of some animals),,
bungkog-an,,,,having a hump,,
bungo,,,,skull,,
bungoe,,,,"deaf, unable to hear; become deaf",,
bungog,,,,"fool, stupid fellow, jerk",,
bungot,,,,"whiskers, beard, facial hair",,
bunguean,,,,"a delicious, long, yellow-green banana  (sn: Musa sapientum, var. suaveolens)",,
bun-i,,,,"white skin disease, ringworm",,
buno,,,,to stab,,
bunok,,,,"rain heavily, rain ""cats and dogs""",,
bunot,,,,coconut husk or fibers; to husk a coconut,,
bunt-i,,,,husk it!,,
buntis,,,,pregnant,,
bunyag,,,,"to water, sprinkle with water; baptize; watering, sprinkling; baptism",,
bunyag-i ro bueak,,,,water the flowers!,,
bu-oe,,,,heel (of foot),,
bu-ong,,,,to break,,
burbur,,,,semen; sexual fluids,,
buri,,,,"buri palm (tree, fibers)  (sn: Corypha elata)",,
buringot,,,,"bad-humored, moody, out-of-sorts, crabby",,
buroe,,,,to embalm,,
bus-ak,,,,to chop (wood),,
busbus,,,,"tear open, puncture, slit open (as with a knife, a chicken tearing open a sack so that the rice inside gets scattered)",,
buskad,,,,to open wide (like a flower),,
busog,,,,"be full, satisfied (after eating)",,
buson,,,,"mail box, postal box",,
buswang,,,,"erupt, open up (sore, boil)",,
buta,,,,blind; blinded,,
buta-buta,,,,"a game, ""Blindman's bluff""",,
buti,,,,"popcorn, popped rice",,
butig,,,,wart,,
butkon,,,,"arm, upper arm; sleeve (of shirt, dress)",,
buto,,,,blister,,
butod,,,,"swell up (due to gas), become bloated (stomach)",,
butong,,,,bamboo (sn: Bambusa vulgaris),,
butong,,,,"to pull, yank",,
butot,,,,tadpole (baby frog),,
buybuy,,,,"(tree--""cotton tree""), used for stuffing pillows and mattresses (sn: Ceiba pentandra L.)",,
buyo,,,,"to deceive about, conceal one's real intentions",,
buyo,,,,leaves for chewing (sn: Piper betle),,
buyok,,,,"charmed, convinced",,
buy-on-an,,,,having a bloated stomach or beer belly,,
buyong,,,,"spin, turn round and round, go in circles",,
daan,,,,"older, ancient; the former",,
dabong,,,,"bamboo shoot (Masbatenyos, like most Filipinos, boil young bamboo shoots for food); immature, young (refers to children, unripe fruits or untempered metal)",,
daeaga,,,,"girl, young lady, young unmarried woman; maiden",,
daeagan,,,,to run (on foot),,
daeagangan,,,,"powerful, mighty, exceedingly strong; Herculean",,
daean,,,,"road,way, path, trail, street; be carried away by, be led by; almost forget (something else)",,
daeas,,,,"often, frequently",,
daeom,,,,to get deep(er),,
dagami,,,,"rice stalk, straw (from rice)",,
dagat,,,,"get motion sickness, get seasick",,
dagat,,,,salt water; sea,,
dagit,,,,"to pounce upon, swoop down and seize (said of birds seizing prey)",,
dagsa,,,,get washed ashore,,
dahil,,,,because,,
dahon,,,,"leaf, leaves; to produce leaves",,
dahon-dahon,,,,grass snake,,
daki,,,,dandruff,,
daki-hon,,,,having dandruff,,
dakop,,,,"to capture, catch (as dog, person, fish)",,
dalisay,,,,"pure, genuine; saturated through and through; strong (flavor)",,
dalit,,,,"venom, poison",,
dalit-an,,,,"venomous, poisonous",,
dama,,,,Spanish checkers; king checkers,,
damah-an,,,,checkerboard,,
dana,,,,that,,
danaw,,,,"lake, pond",,
dangaw,,,,handsbreadth (unit of measurement about 8 inches long),,
dangdang,,,,"warm up, put near the fire, heat up",,
dapdap,,,,kind of tree,,
dapeos,,,,to slide down (as down the railing of a stairway); to slip down (unable to take hold),,
dapit,,,,"situated, located",,
dapit,,,,"situated, located",,
dapit,,,,to ferry across,,
dapit-an,,,,ferry landing,,
daplis,,,,"grazed, scratched, having an abrasion, slightly cut",,
dapog,,,,"stove, hearth",,
datag,,,,"open field, plain, prairie",,
datu,,,,"ruler, king; rich, wealthy, powerful (through money)",,
dawa,,,,grass; rice grain dessert preparation,,
dawat,,,,"to take, receive, get from above",,
dayaw,,,,"to praise, honor, laud",,
daywa,,,,"to make into two, raise or lower to two",,
daywa,,,,two,,
dila,,,,tongue,,
dilaan,,,,sharp-tongued (referring to a gossiper),,
dilap,,,,to lick,,
dingding,,,,wall,,
dueas,,,,to slip,,
dueok,,,,to clear away the stumps of trees and other vegetation in order to plant,,
dueom,,,,to get darker,,
dugmon,,,,nest or mat for a pig,,
dugo,,,,blood; to bleed,,
dugo-an,,,,"a Filipino dish made from the blood and intestines of pigs, chickens, etc.",,
duha-duha,,,,"hesitation, doubt, fear",,
duha-duha,,,,"to doubt, be hesitant; delay, hesitate",,
dukot,,,,"hard cooked rice at the bottom of the pot; to stick to, cling to; to get pregnant",,
dukot,,,,to pick someone's pocket,,
dukot,,,,to stick together,,
dulis,,,,shooting star,,
dumdum,,,,"to remember, keep in mind",,
dungog,,,,"fame, honor, reputation",,
dungog,,,,"listen to, hear, give ear to",,
dunong,,,,"wisdom, knowledge",,
dupa,,,,"armsbreadth, armspan [unit of measure]; to stretch out one's arms, hold one's arms out sideways",,
dusdus,,,,"to push, shove",,
dutdut,,,,"to tighten, squeeze together (usually by pushing)",,
duyan,,,,hammock; cradle; to rock [a baby] to sleep,,
duyan-duyan,,,,to rock back and forth,,
eaba,,,,"to launder, wash clothes",,
eabnog,,,,a medicinal shrub (sn: Ficus hauili Blanco),,
eabong,,,,"grow steadily, multiply, expand, be prolific",,
eabot,,,,"affair, concern, business",,
eaea,,,,to weave mats,,
eaga,,,,"red, reddish",,
eakad,,,,to step over (with big steps),,
eakaw,,,,"to amble, go around",,
eaki,,,,"man, male",,
eakin-on,,,,mannish,,
eali,,,,fish,,
eambong,,,,shirt; blouse; dress,,
eamon,,,,"to eat (of an animal); to eat like a pig, eat voraciously and sloppily",,
eanab,,,,"to flood a little bit, overflow a little",,
eanab-eanab,,,,to rise (said of the river's water level),,
eang,,,,"just, only",,
eangaw,,,,fly (general term for this family of insects),,
eangit,,,,"sky, heaven",,
eangoy,,,,to swim (after/the length of),,
eanos,,,,a somewhat old coconut,,
eanot,,,,abaca fiber,,
eanting,,,,high-pitched (voice),,
eaon,,,,"old (rice; maid); spinster, spinstress",,
eapaw,,,,"surpass, exceed, excel",,
eapdos,,,,to strike with a downward motion,,
eapid,,,,"to join, unite, put together",,
eapot,,,,"sticky, pasty",,
easaw,,,,"not sticky; liquidy, watery",,
easg-on,,,,having enlarged testicles,,
easog,,,,testicle,,
eat-as,,,,try to get to some place by a route not ordinarily taken,,
eatay,,,,to cross a small bamboo bridge,,
eatay-an,,,,"river-crossing, small bamboo bridge",,
eati,,,,field (for farming),,
eawa,,,,spider,,
eawa-eawa,,,,"cobweb, spiderweb",,
eaway,,,,"to salivate, froth at the mouth",,
eaw-ay,,,,"to be indecent; become, get ugly",,
eawod,,,,"ocean, sea",,
eaya,,,,dry land,,
eayag,,,,sail [of boat],,
eayog,,,,long range; high; very high; tall (as coconut trees),,
eon,,,,"""now"", ""already"", ""just"" (particle showing that an action has begun and/or is enduring)",,
eubak-eubak,,,,holes in the road,,
eubog,,,,"murky, clouded, dirty (water)",,
eubos,,,,deep; sincere; true,,
eudh-an,,,,"kneeler, kneeling bench",,
eueod,,,,shin (part of leg),,
eugaw,,,,"to make rice broth, cook rice porridge",,
euha,,,,to shed tears; to water (of the eyes),,
euha,,,,teardrop,,
euhod,,,,to kneel,,
euksa,,,,mourning,,
eukso,,,,to jump over,,
eukton,,,,small locust,,
eumo,,,,"to consider easy, find easy",,
eumon,,,,to live with or dwell with as an outsider,,
eumos,,,,to drown (either accidentally or intentionally),,
eumot,,,,"moss, algae--growing in sea",,
eunud,,,,"sink, go under water",,
eupi,,,,"to get bent, crushed",,
eupo,,,,poisonous freshwater fish,,
euto,,,,"ripe, ready to eat (fruit); ripen, get ripe",,
euwas,,,,"outside; to save from [troubles, evil]; free, liberate; aside from, outside of",,
euya,,,,"weak, feeble, not strong",,
gabi,,,,taro (sn: Colocasia esculenta),,
